"";"number";"state";"DST";"ORG";"PRD";"sec_new";"IND";"COM";"usr_new";"USR"
"73";72;"TO";"TO_RUF";"TO_RUF";"TO_RUF";"ind";"ComEletro";"ComEletro";"ind";"ComEletro"
"74";73;"TO";"TO_CAP";"TO_CAP";"TO_CAP";"ind";"MaqEquiInf";"MaqEquiInf";"ind";"MaqEquiInf"
"75";74;"";"";"";"";"ind";"MatEleCom";"MatEleCom";"ind";"MatEleCom"
"76";75;NA;NA;NA;NA;"ind";"EquTesMed";"EquTesMed";"ind";"EquTesMed"
"77";76;NA;NA;NA;NA;"ind";"MaqMatElet";"MaqMatElet";"ind";"MaqMatElet"
"78";77;NA;NA;NA;NA;"ind";"Eltrodom";"Eltrodom";"ind";"Eltrodom"
"79";78;NA;NA;NA;NA;"ind";"TratorOut";"TratorOut";"ind";"TratorOut"
"80";79;NA;NA;NA;NA;"ind";"MarExtMin";"MarExtMin";"ind";"MarExtMin"
"81";80;NA;NA;NA;NA;"ind";"OutMaq";"OutMaq";"ind";"OutMaq"
"82";81;NA;NA;NA;NA;"ind";"AutoCamUti";"AutoCamUti";"ind";"AutoCamUti"
"83";82;NA;NA;NA;NA;"ind";"CamOnibus";"CamOnibus";"ind";"CamOnibus"
"84";83;NA;NA;NA;NA;"ind";"PecasAutom";"PecasAutom";"ind";"PecasAutom"
"85";84;NA;NA;NA;NA;"ind";"AeroEmbOut";"AeroEmbOut";"ind";"AeroEmbOut"
"86";85;NA;NA;NA;NA;"ind";"Moveis";"Moveis";"ind";"Moveis"
"87";86;NA;NA;NA;NA;"ind";"IndDiversas";"IndDiversas";"ind";"IndDiversas"
"88";87;NA;NA;NA;NA;"ind";"ManuRep";"ManuRep";"ind";"ManuRep"
"89";88;NA;NA;NA;NA;"ind";"EletGasOut";"EletGasOut";"ind";"EletGasOut"
"90";89;NA;NA;NA;NA;"ind";"AguaEsgRec";"AguaEsgRec";"ind";"AguaEsgRec"
"91";90;NA;NA;NA;NA;"ind";"Edificacoes";"Edificacoes";"ind";"Edificacoes"
"92";91;NA;NA;NA;NA;"ind";"InfraEstr";"InfraEstr";"ind";"InfraEstr"
"93";92;NA;NA;NA;NA;"ind";"ServContr";"ServContr";"ind";"ServContr"
"94";93;NA;NA;NA;NA;"ser";"ComAtaVar";"ComAtaVar";"ser";"ComAtaVar"
"95";94;NA;NA;NA;NA;"ser";"TranspCarga";"TranspCarga";"ser";"TranspCarga"
"96";95;NA;NA;NA;NA;"ser";"TransPass";"TransPass";"ser";"TransPass"
"97";96;NA;NA;NA;NA;"ser";"TransAere";"TransAere";"ser";"TransAere"
"98";97;NA;NA;NA;NA;"ser";"ArSAuxTrans";"ArSAuxTrans";"ser";"ArSAuxTrans"
"99";98;NA;NA;NA;NA;"ser";"CorreioEnt";"CorreioEnt";"ser";"CorreioEnt"
"100";99;NA;NA;NA;NA;"ser";"SerAlojam";"SerAlojam";"ser";"SerAlojam"
"101";100;NA;NA;NA;NA;"ser";"SerAlimen";"SerAlimen";"ser";"SerAlimen"
"102";101;NA;NA;NA;NA;"ser";"LivrJorRevis";"LivrJorRevis";"ser";"LivrJorRevis"
"103";102;NA;NA;NA;NA;"ser";"SerCineRad";"SerCineRad";"ser";"SerCineRad"
"104";103;NA;NA;NA;NA;"ser";"TelecomOut";"TelecomOut";"ser";"TelecomOut"
"105";104;NA;NA;NA;NA;"ser";"DesSistOut";"DesSistOut";"ser";"DesSistOut"
"106";105;NA;NA;NA;NA;"ser";"IntFinaSeg";"IntFinaSeg";"ser";"IntFinaSeg"
"107";106;NA;NA;NA;NA;"ser";"AlugEfet";"AlugEfet";"ser";"AlugEfet"
"108";107;NA;NA;NA;NA;"ser";"AlugImp";"AlugImp";"ser";"AlugImp"
"109";108;NA;NA;NA;NA;"ser";"SerJuridTab";"SerJuridTab";"ser";"SerJuridTab"
"110";109;NA;NA;NA;NA;"ser";"PeDesenv";"PeDesenv";"ser";"PeDesenv"
"111";110;NA;NA;NA;NA;"ser";"SerArqEng";"SerArqEng";"ser";"SerArqEng"
"112";111;NA;NA;NA;NA;"ser";"PubOutTec";"PubOutTec";"ser";"PubOutTec"
"113";112;NA;NA;NA;NA;"ser";"AluNImob";"AluNImob";"ser";"AluNImob"
"114";113;NA;NA;NA;NA;"ser";"Condomin";"Condomin";"ser";"Condomin"
"115";114;NA;NA;NA;NA;"ser";"OutAdmin";"OutAdmin";"ser";"OutAdmin"
"116";115;NA;NA;NA;NA;"ser";"ServVigSeg";"ServVigSeg";"ser";"ServVigSeg"
"117";116;NA;NA;NA;NA;"adm";"SerAdmPub";"SerAdmPub";"adm";"SerAdmPub"
"118";117;NA;NA;NA;NA;"adm";"ServPrevid";"ServPrevid";"adm";"ServPrevid"
"119";118;NA;NA;NA;NA;"adm";"EducPubl";"EducPubl";"adm";"EducPubl"
"120";119;NA;NA;NA;NA;"ser";"EducPriv";"EducPriv";"ser";"EducPriv"
"121";120;NA;NA;NA;NA;"adm";"SaudPublica";"SaudPublica";"adm";"SaudPublica"
"122";121;NA;NA;NA;NA;"ser";"SaudPrivada";"SaudPrivada";"ser";"SaudPrivada"
"123";122;NA;NA;NA;NA;"ser";"SerArtCultur";"SerArtCultur";"ser";"SerArtCultur"
"124";123;NA;NA;NA;NA;"ser";"OrgPatrSind";"OrgPatrSind";"ser";"OrgPatrSind"
"125";124;NA;NA;NA;NA;"ser";"ManComp";"ManComp";"ser";"ManComp"
"126";125;NA;NA;NA;NA;"ser";"ServPess";"ServPess";"ser";"ServPess"
"127";126;NA;NA;NA;NA;"ser";"ServDom";"ServDom";"ser";"ServDom"
"128";127;NA;NA;NA;NA;"";"";"";"HOU";"HOU"
"129";128;NA;NA;NA;NA;NA;NA;NA;"INV";"INV"
"130";129;NA;NA;NA;NA;NA;NA;NA;"GOV";"GOV"
"131";130;NA;NA;NA;NA;NA;NA;NA;"EXP";"EXP"
"132";131;NA;NA;NA;NA;NA;NA;NA;"";""
